action,normalUser
CREATE_DOCUMENT,49520
DOCUMENT_DELETED,871
GUEST,18861
LIKE,20794
LINK_CLICK,368
MARK_PHOTO,7264
PHOTO_TEXT,72
RE_SHARE,183
SEND_PRESENT,165
VIDEO_CALL_INCOMING,4
VIDEO_CALL,6
VOTE,876
VOTE_PHOTO,17
CREATE_DOCUMENT,70546
DOCUMENT_DELETED,2597
GUEST,13911
LIKE,6971
LINK_CLICK,266
MARK_PHOTO,4565
PHOTO_TEXT,115
RE_SHARE,45
SEND_PRESENT,63
VIDEO_CALL_INCOMING,14
VIDEO_CALL,5
VOTE,276
VOTE_PHOTO,4
CREATE_DOCUMENT,31490
DOCUMENT_DELETED,815
GUEST,10072
LIKE,11052
LINK_CLICK,55
MARK_PHOTO,46069
PHOTO_TEXT,40
RE_SHARE,33
SEND_PRESENT,32
VIDEO_CALL_INCOMING,3
VIDEO_CALL,3
VOTE,241
VOTE_PHOTO,4
CREATE_DOCUMENT,55184
DOCUMENT_DELETED,1346
GUEST,18732
LIKE,17454
LINK_CLICK,412
MARK_PHOTO,4463
PHOTO_TEXT,32
RE_SHARE,43
SEND_PRESENT,21
VIDEO_CALL_INCOMING,17
VIDEO_CALL,8
VOTE,610
VOTE_PHOTO,30
CREATE_DOCUMENT,56745
DOCUMENT_DELETED,840
GUEST,22179
LIKE,14230
LINK_CLICK,257
MARK_PHOTO,5211
PHOTO_TEXT,35
RE_SHARE,31
SEND_PRESENT,50
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,322
VOTE_PHOTO,5
CREATE_DOCUMENT,38688
DOCUMENT_DELETED,796
GUEST,16310
LIKE,10418
LINK_CLICK,163
MARK_PHOTO,3008
PHOTO_TEXT,50
RE_SHARE,39
SEND_PRESENT,142
VIDEO_CALL_INCOMING,8
VIDEO_CALL,11
VOTE,350
VOTE_PHOTO,5
CREATE_DOCUMENT,43198
DOCUMENT_DELETED,3372
GUEST,11668
LIKE,32461
LINK_CLICK,157
MARK_PHOTO,6091
PHOTO_TEXT,36
RE_SHARE,127
SEND_PRESENT,320
VIDEO_CALL_INCOMING,5
VIDEO_CALL,0
VOTE,642
VOTE_PHOTO,33
CREATE_DOCUMENT,49089
DOCUMENT_DELETED,1644
GUEST,18841
LIKE,13583
LINK_CLICK,190
MARK_PHOTO,5588
PHOTO_TEXT,37
RE_SHARE,86
SEND_PRESENT,123
VIDEO_CALL_INCOMING,24
VIDEO_CALL,13
VOTE,608
VOTE_PHOTO,12
CREATE_DOCUMENT,57212
DOCUMENT_DELETED,981
GUEST,19554
LIKE,9690
LINK_CLICK,277
MARK_PHOTO,7086
PHOTO_TEXT,127
RE_SHARE,21
SEND_PRESENT,29
VIDEO_CALL_INCOMING,5
VIDEO_CALL,10
VOTE,329
VOTE_PHOTO,17
CREATE_DOCUMENT,52061
DOCUMENT_DELETED,845
GUEST,15998
LIKE,16452
LINK_CLICK,211
MARK_PHOTO,8447
PHOTO_TEXT,48
RE_SHARE,63
SEND_PRESENT,104
VIDEO_CALL_INCOMING,5
VIDEO_CALL,6
VOTE,442
VOTE_PHOTO,13
CREATE_DOCUMENT,51384
DOCUMENT_DELETED,850
GUEST,14879
LIKE,18235
LINK_CLICK,134
MARK_PHOTO,13140
PHOTO_TEXT,50
RE_SHARE,157
SEND_PRESENT,75
VIDEO_CALL_INCOMING,34
VIDEO_CALL,8
VOTE,563
VOTE_PHOTO,336
CREATE_DOCUMENT,78107
DOCUMENT_DELETED,488
GUEST,8672
LIKE,8247
LINK_CLICK,137
MARK_PHOTO,3969
PHOTO_TEXT,19
RE_SHARE,38
SEND_PRESENT,129
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,40
VOTE_PHOTO,1
CREATE_DOCUMENT,60524
DOCUMENT_DELETED,1563
GUEST,16801
LIKE,13705
LINK_CLICK,217
MARK_PHOTO,2915
PHOTO_TEXT,763
RE_SHARE,28
SEND_PRESENT,40
VIDEO_CALL_INCOMING,27
VIDEO_CALL,15
VOTE,606
VOTE_PHOTO,27
CREATE_DOCUMENT,33050
DOCUMENT_DELETED,1000
GUEST,15621
LIKE,14148
LINK_CLICK,382
MARK_PHOTO,33772
PHOTO_TEXT,58
RE_SHARE,113
SEND_PRESENT,142
VIDEO_CALL_INCOMING,11
VIDEO_CALL,8
VOTE,430
VOTE_PHOTO,1
CREATE_DOCUMENT,14291
DOCUMENT_DELETED,615
GUEST,1021
LIKE,3290
LINK_CLICK,1304
MARK_PHOTO,79271
PHOTO_TEXT,28
RE_SHARE,85
SEND_PRESENT,12
VIDEO_CALL_INCOMING,10
VIDEO_CALL,25
VOTE,45
VOTE_PHOTO,3
CREATE_DOCUMENT,67865
DOCUMENT_DELETED,2539
GUEST,13682
LIKE,13911
LINK_CLICK,250
MARK_PHOTO,590
PHOTO_TEXT,30
RE_SHARE,569
SEND_PRESENT,33
VIDEO_CALL_INCOMING,75
VIDEO_CALL,55
VOTE,393
VOTE_PHOTO,8
CREATE_DOCUMENT,59737
DOCUMENT_DELETED,1438
GUEST,8016
LIKE,26937
LINK_CLICK,124
MARK_PHOTO,1886
PHOTO_TEXT,93
RE_SHARE,208
SEND_PRESENT,6
VIDEO_CALL_INCOMING,8
VIDEO_CALL,6
VOTE,1202
VOTE_PHOTO,17
CREATE_DOCUMENT,63667
DOCUMENT_DELETED,816
GUEST,14820
LIKE,11388
LINK_CLICK,535
MARK_PHOTO,7142
PHOTO_TEXT,73
RE_SHARE,1215
SEND_PRESENT,104
VIDEO_CALL_INCOMING,12
VIDEO_CALL,1
VOTE,227
VOTE_PHOTO,0
CREATE_DOCUMENT,59229
DOCUMENT_DELETED,1654
GUEST,22447
LIKE,7128
LINK_CLICK,196
MARK_PHOTO,8300
PHOTO_TEXT,70
RE_SHARE,231
SEND_PRESENT,46
VIDEO_CALL_INCOMING,4
VIDEO_CALL,1
VOTE,575
VOTE_PHOTO,4
CREATE_DOCUMENT,49346
DOCUMENT_DELETED,879
GUEST,24053
LIKE,11845
LINK_CLICK,376
MARK_PHOTO,7526
PHOTO_TEXT,76
RE_SHARE,6
SEND_PRESENT,41
VIDEO_CALL_INCOMING,17
VIDEO_CALL,3
VOTE,638
VOTE_PHOTO,8
CREATE_DOCUMENT,57974
DOCUMENT_DELETED,1403
GUEST,18983
LIKE,15819
LINK_CLICK,417
MARK_PHOTO,4409
PHOTO_TEXT,28
RE_SHARE,313
SEND_PRESENT,43
VIDEO_CALL_INCOMING,4
VIDEO_CALL,3
VOTE,499
VOTE_PHOTO,18
CREATE_DOCUMENT,45833
DOCUMENT_DELETED,1764
GUEST,26358
LIKE,17073
LINK_CLICK,1087
MARK_PHOTO,5450
PHOTO_TEXT,97
RE_SHARE,32
SEND_PRESENT,54
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,211
VOTE_PHOTO,7
CREATE_DOCUMENT,43072
DOCUMENT_DELETED,1621
GUEST,24581
LIKE,22359
LINK_CLICK,288
MARK_PHOTO,4597
PHOTO_TEXT,74
RE_SHARE,320
SEND_PRESENT,86
VIDEO_CALL_INCOMING,18
VIDEO_CALL,2
VOTE,649
VOTE_PHOTO,35
CREATE_DOCUMENT,63889
DOCUMENT_DELETED,1273
GUEST,15752
LIKE,9885
LINK_CLICK,168
MARK_PHOTO,8268
PHOTO_TEXT,40
RE_SHARE,22
SEND_PRESENT,55
VIDEO_CALL_INCOMING,29
VIDEO_CALL,42
VOTE,544
VOTE_PHOTO,8
CREATE_DOCUMENT,56013
DOCUMENT_DELETED,2896
GUEST,13241
LIKE,17826
LINK_CLICK,412
MARK_PHOTO,6590
PHOTO_TEXT,244
RE_SHARE,222
SEND_PRESENT,64
VIDEO_CALL_INCOMING,8
VIDEO_CALL,4
VOTE,499
VOTE_PHOTO,65
CREATE_DOCUMENT,56073
DOCUMENT_DELETED,3565
GUEST,12819
LIKE,23386
LINK_CLICK,884
MARK_PHOTO,1595
PHOTO_TEXT,519
RE_SHARE,438
SEND_PRESENT,121
VIDEO_CALL_INCOMING,12
VIDEO_CALL,2
VOTE,503
VOTE_PHOTO,5
CREATE_DOCUMENT,48096
DOCUMENT_DELETED,1156
GUEST,19878
LIKE,15221
LINK_CLICK,602
MARK_PHOTO,3809
PHOTO_TEXT,47
RE_SHARE,1220
SEND_PRESENT,131
VIDEO_CALL_INCOMING,24
VIDEO_CALL,36
VOTE,502
VOTE_PHOTO,44
CREATE_DOCUMENT,47899
DOCUMENT_DELETED,1452
GUEST,26745
LIKE,18615
LINK_CLICK,627
MARK_PHOTO,2457
PHOTO_TEXT,92
RE_SHARE,297
SEND_PRESENT,127
VIDEO_CALL_INCOMING,13
VIDEO_CALL,7
VOTE,771
VOTE_PHOTO,613
CREATE_DOCUMENT,49490
DOCUMENT_DELETED,2593
GUEST,25315
LIKE,16364
LINK_CLICK,329
MARK_PHOTO,4861
PHOTO_TEXT,23
RE_SHARE,81
SEND_PRESENT,96
VIDEO_CALL_INCOMING,15
VIDEO_CALL,0
VOTE,416
VOTE_PHOTO,22
CREATE_DOCUMENT,40050
DOCUMENT_DELETED,1740
GUEST,18560
LIKE,15761
LINK_CLICK,559
MARK_PHOTO,5401
PHOTO_TEXT,73
RE_SHARE,197
SEND_PRESENT,89
VIDEO_CALL_INCOMING,30
VIDEO_CALL,15
VOTE,1597
VOTE_PHOTO,102
CREATE_DOCUMENT,58881
DOCUMENT_DELETED,2161
GUEST,14006
LIKE,9385
LINK_CLICK,289
MARK_PHOTO,2639
PHOTO_TEXT,50
RE_SHARE,102
SEND_PRESENT,29
VIDEO_CALL_INCOMING,4
VIDEO_CALL,6
VOTE,455
VOTE_PHOTO,12
CREATE_DOCUMENT,47733
DOCUMENT_DELETED,1093
GUEST,13649
LIKE,15431
LINK_CLICK,601
MARK_PHOTO,1538
PHOTO_TEXT,40
RE_SHARE,220
SEND_PRESENT,151
VIDEO_CALL_INCOMING,33
VIDEO_CALL,4
VOTE,327
VOTE_PHOTO,3
CREATE_DOCUMENT,52800
DOCUMENT_DELETED,720
GUEST,17260
LIKE,22825
LINK_CLICK,836
MARK_PHOTO,4611
PHOTO_TEXT,29
RE_SHARE,152
SEND_PRESENT,20
VIDEO_CALL_INCOMING,4
VIDEO_CALL,16
VOTE,719
VOTE_PHOTO,8
CREATE_DOCUMENT,52955
DOCUMENT_DELETED,5355
GUEST,14755
LIKE,17891
LINK_CLICK,334
MARK_PHOTO,6690
PHOTO_TEXT,80
RE_SHARE,254
SEND_PRESENT,133
VIDEO_CALL_INCOMING,4
VIDEO_CALL,10
VOTE,388
VOTE_PHOTO,97
CREATE_DOCUMENT,72784
DOCUMENT_DELETED,1094
GUEST,9614
LIKE,11356
LINK_CLICK,765
MARK_PHOTO,3955
PHOTO_TEXT,30
RE_SHARE,30
SEND_PRESENT,14
VIDEO_CALL_INCOMING,3
VIDEO_CALL,4
VOTE,272
VOTE_PHOTO,18
CREATE_DOCUMENT,44174
DOCUMENT_DELETED,963
GUEST,11757
LIKE,31252
LINK_CLICK,393
MARK_PHOTO,9851
