action,bot
CREATE_DOCUMENT,726
DOCUMENT_DELETED,14
GUEST,135
LIKE,88
LINK_CLICK,6
MARK_PHOTO,18
PHOTO_TEXT,4
RE_SHARE,2
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,6
VOTE_PHOTO,0
CREATE_DOCUMENT,458
DOCUMENT_DELETED,30
GUEST,75
LIKE,34
LINK_CLICK,15
MARK_PHOTO,0
PHOTO_TEXT,4
RE_SHARE,3
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,3
VOTE_PHOTO,0
CREATE_DOCUMENT,57
DOCUMENT_DELETED,12
GUEST,0
LIKE,0
LINK_CLICK,22
MARK_PHOTO,0
PHOTO_TEXT,0
RE_SHARE,0
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,1533
DOCUMENT_DELETED,18
GUEST,57
LIKE,1
LINK_CLICK,32
MARK_PHOTO,0
PHOTO_TEXT,7
RE_SHARE,0
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,93
DOCUMENT_DELETED,0
GUEST,1
LIKE,0
LINK_CLICK,1
MARK_PHOTO,0
PHOTO_TEXT,0
RE_SHARE,0
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,23520
DOCUMENT_DELETED,445
GUEST,3050
LIKE,2249
LINK_CLICK,177
MARK_PHOTO,220
PHOTO_TEXT,229
RE_SHARE,89
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,5
VOTE_PHOTO,28
CREATE_DOCUMENT,1619
DOCUMENT_DELETED,31
GUEST,86
LIKE,47
LINK_CLICK,87
MARK_PHOTO,0
PHOTO_TEXT,0
RE_SHARE,14
SEND_PRESENT,0
VIDEO_CALL_INCOMING,3
VIDEO_CALL,0
VOTE,2
VOTE_PHOTO,0
CREATE_DOCUMENT,7622
DOCUMENT_DELETED,34
GUEST,2024
LIKE,238
LINK_CLICK,33
MARK_PHOTO,154
PHOTO_TEXT,56
RE_SHARE,0
SEND_PRESENT,0
VIDEO_CALL_INCOMING,1
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,4554
DOCUMENT_DELETED,0
GUEST,0
LIKE,0
LINK_CLICK,0
MARK_PHOTO,0
PHOTO_TEXT,108
RE_SHARE,0
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,3422
DOCUMENT_DELETED,195
GUEST,952
LIKE,517
LINK_CLICK,92
MARK_PHOTO,4
PHOTO_TEXT,3
RE_SHARE,2
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,114
VOTE_PHOTO,4
CREATE_DOCUMENT,141
DOCUMENT_DELETED,12
GUEST,0
LIKE,0
LINK_CLICK,1
MARK_PHOTO,0
PHOTO_TEXT,1
RE_SHARE,0
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,112
DOCUMENT_DELETED,1
GUEST,29
LIKE,10
LINK_CLICK,1
MARK_PHOTO,0
PHOTO_TEXT,0
RE_SHARE,0
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,2057
DOCUMENT_DELETED,23
GUEST,245
LIKE,157
LINK_CLICK,9
MARK_PHOTO,265
PHOTO_TEXT,8
RE_SHARE,5
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,1206
DOCUMENT_DELETED,23
GUEST,17
LIKE,7
LINK_CLICK,9
MARK_PHOTO,0
PHOTO_TEXT,2
RE_SHARE,0
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,0
DOCUMENT_DELETED,0
GUEST,0
LIKE,0
LINK_CLICK,0
MARK_PHOTO,0
PHOTO_TEXT,0
RE_SHARE,0
SEND_PRESENT,0
VIDEO_CALL_INCOMING,0
VIDEO_CALL,0
VOTE,0
VOTE_PHOTO,0
CREATE_DOCUMENT,0
DOCUMENT_DELETED,0
GUEST,0
LIKE,0
LINK_CLICK,0
MARK_PHOTO,0
PHOTO_TEXT,0
RE_SHARE,0
SEND_PRESENT,0
